country,region,year,gdp
Türkiye,Middle East,1977,58683333333
United Kingdom,Europe,1977,263066457352
United States,North America,1977,2081826000000
Argentina,South America,1978,89049453088
Australia,Oceania,1978,118660813780
Belgium,Europe,1978,101246526194
Brazil,South America,1978,200278646124
Canada,North America,1978,219369542386
China,Asia,1978,149788617886
Egypt,Africa,1978,14811704063
France,Europe,1978,501724418605
Germany,Europe,1978,743182891918
India,Asia,1978,137302319829
Indonesia,Asia,1978,51455719076
Iran,Middle East,1978,77994316621
Italy,Europe,1978,315784469541
Japan,Asia,1978,1035611588217
Mexico,North America,1978,102648570299
Netherlands,Europe,1978,156089077205
Nigeria,Africa,1978,36527862209
Pakistan,Asia,1978,17811515152
Saudi Arabia,Middle East,1978,80266516687
South Africa,Africa,1978,51607412902
South Korea,Asia,1978,52824793388
Spain,Europe,1978,160484969618
Sweden,Europe,1978,104290933496
Switzerland,Europe,1978,102280472036
Thailand,Asia,1978,24006566637
Türkiye,Middle East,1978,65912500000
United Kingdom,Europe,1978,335883029722
United States,North America,1978,2351599000000
Argentina,South America,1979,69252328952
Australia,Oceania,1979,135093718051
Belgium,Europe,1979,116315456797
Brazil,South America,1979,221338204480
Canada,North America,1979,243891124296
China,Asia,1979,178573913043
Egypt,Africa,1979,18020571429
France,Europe,1979,608218624730
Germany,Europe,1979,884574218333
India,Asia,1979,152995442498
Indonesia,Asia,1979,51400186343
Iran,Middle East,1979,90391877326
Italy,Europe,1979,394584507108
Japan,Asia,1979,1077910077676
Mexico,North America,1979,134531900899
Netherlands,Europe,1979,179933827310
Nigeria,Africa,1979,47259911894
Pakistan,Asia,1979,19688383838
Saudi Arabia,Middle East,1979,111858444786
South Africa,Africa,1979,63038658089
South Korea,Asia,1979,68083884298
Spain,Europe,1979,214448666336
Sweden,Europe,1979,123207527699
Switzerland,Europe,1979,114970094425
Thailand,Asia,1979,27371650825
Türkiye,Middle East,1979,89616129032
United Kingdom,Europe,1979,438994070309
United States,North America,1979,2627333000000
Argentina,South America,1980,76961923741
Australia,Oceania,1980,150200557103
Belgium,Europe,1980,126829314388
Brazil,South America,1980,237393489893
Canada,North America,1980,274776566028
China,Asia,1980,191487500000
Egypt,Africa,1980,21669908176
France,Europe,1980,694529183483
Germany,Europe,1980,953772499462
India,Asia,1980,186328579302
Indonesia,Asia,1980,72482337397
Iran,Middle East,1980,94362275580
Italy,Europe,1980,478356755596
Japan,Asia,1980,1129377244854
Mexico,North America,1980,205577055466
Netherlands,Europe,1980,195439301707
Nigeria,Africa,1980,64201788123
Pakistan,Asia,1980,23654444444
Saudi Arabia,Middle East,1980,164539660725
South Africa,Africa,1980,89411864402
South Korea,Asia,1980,66547970351
Spain,Europe,1980,232600556974
Sweden,Europe,1980,141886067004
Switzerland,Europe,1980,122557843886
Thailand,Asia,1980,32353514989
Türkiye,Middle East,1980,68823684211
United Kingdom,Europe,1980,564947710899
United States,North America,1980,2857307000000
Argentina,South America,1981,78676842367
Australia,Oceania,1981,177151979566
Belgium,Europe,1981,104730018470
Brazil,South America,1981,258015174749
Canada,North America,1981,307246642756
China,Asia,1981,196218253968
Egypt,Africa,1981,22136081081
France,Europe,1981,609184791792
Germany,Europe,1981,803404797058
India,Asia,1981,193491368446
Indonesia,Asia,1981,85518233419
Iran,Middle East,1981,100499312750
Italy,Europe,1981,431695533981
Japan,Asia,1981,1245221410764
Mexico,North America,1981,263797827860
Netherlands,Europe,1981,164375775854
Nigeria,Africa,1981,164475209516
Pakistan,Asia,1981,28100606061
Saudi Arabia,Middle East,1981,184291360139
South Africa,Africa,1981,93141472164
South Korea,Asia,1981,74287368087
Spain,Europe,1981,202663023968
Sweden,Europe,1981,129498921476
Switzerland,Europe,1981,112244805519
Thailand,Asia,1981,34846039194
Türkiye,Middle East,1981,71180180180
United Kingdom,Europe,1981,540765675241
United States,North America,1981,3207041000000
Argentina,South America,1982,84307486837
Australia,Oceania,1982,194323071831
Belgium,Europe,1982,92095926188
Brazil,South America,1982,271314113768
Canada,North America,1982,314647807409
China,Asia,1982,205480916031
Egypt,Africa,1982,27655172414
France,Europe,1982,578152310610
Germany,Europe,1982,779421633755
India,Asia,1982,200715624831
Indonesia,Asia,1982,90158449295
Iran,Middle East,1982,125948756439
Italy,Europe,1982,428257421618
Japan,Asia,1982,1158731426906
Mexico,North America,1982,184602611610
Netherlands,Europe,1982,158712765536
Nigeria,Africa,1982,142769363314
Pakistan,Asia,1982,30725971564
Saudi Arabia,Middle East,1982,153240313858
South Africa,Africa,1982,85904057409
South Korea,Asia,1982,79921300447
Spain,Europe,1982,195856752991
Sweden,Europe,1982,114214731799
Switzerland,Europe,1982,115043365512
Thailand,Asia,1982,36589772404
Türkiye,Middle East,1982,64369325153
United Kingdom,Europe,1982,515048916841
United States,North America,1982,3343789000000
Argentina,South America,1983,103979106778
Australia,Oceania,1983,177523719680
Belgium,Europe,1983,87184239053
Brazil,South America,1983,189656506321
Canada,North America,1983,341866277183
China,Asia,1983,231130268199
Egypt,Africa,1983,30966239814
France,Europe,1983,553356312936
Germany,Europe,1983,773507930295
India,Asia,1983,218262146413
Indonesia,Asia,1983,81052283384
Iran,Middle East,1983,156365156618
Italy,Europe,1983,444063496940
Japan,Asia,1983,1270859919743
Mexico,North America,1983,156167000433
Netherlands,Europe,1983,153671294109
Nigeria,Africa,1983,97094911792
Pakistan,Asia,1983,28691889764
Saudi Arabia,Middle East,1983,129171635311
South Africa,Africa,1983,96204110942
South Korea,Asia,1983,89621208322
Spain,Europe,1983,170829074246
Sweden,Europe,1983,104862109663
Switzerland,Europe,1983,114634358535
Thailand,Asia,1983,40042798388
Türkiye,Middle East,1983,61803555556
United Kingdom,Europe,1983,489618008186
United States,North America,1983,3634038000000
Argentina,South America,1984,116915052107
Australia,Oceania,1984,193749932078
Belgium,Europe,1984,83349530159
Brazil,South America,1984,188339974087
Canada,North America,1984,356718400124
China,Asia,1984,260442857143
Egypt,Africa,1984,33971188992
France,Europe,1984,525033325828
Germany,Europe,1984,727767760979
India,Asia,1984,212157645178
Indonesia,Asia,1984,84853700028
Iran,Middle East,1984,162276728620
Italy,Europe,1984,438896930791
Japan,Asia,1984,1345824500837
Mexico,North America,1984,184230754105
Netherlands,Europe,1984,144124462912
Nigeria,Africa,1984,73484359521
Pakistan,Asia,1984,31151825467
Saudi Arabia,Middle East,1984,119624858116
South Africa,Africa,1984,84870163366
South Korea,Asia,1984,99749645089
Spain,Europe,1984,171979977230
Sweden,Europe,1984,109043045407
Switzerland,Europe,1984,109455312168
Thailand,Asia,1984,41797647776
Türkiye,Middle East,1984,59937602180
United Kingdom,Europe,1984,461487097632
United States,North America,1984,4037613000000
Argentina,South America,1985,88150891728
Australia,Oceania,1985,180861108959
Belgium,Europe,1985,86268264148
Brazil,South America,1985,210879844639
Canada,North America,1985,366186012450
China,Asia,1985,310064625850
Egypt,Africa,1985,39053502251
France,Europe,1985,547220981165
Germany,Europe,1985,735218723093
India,Asia,1985,232511554840
Indonesia,Asia,1985,85289488375
Iran,Middle East,1985,180183629600
Italy,Europe,1985,453259761687
Japan,Asia,1985,1427019759717
Mexico,North America,1985,195241069482
Netherlands,Europe,1985,144057523222
Nigeria,Africa,1985,73745821158
Pakistan,Asia,1985,31144920844
Saudi Arabia,Middle East,1985,103897846494
South Africa,Africa,1985,64459376087
South Korea,Asia,1985,103764281281
Spain,Europe,1985,180664322896
Sweden,Europe,1985,113958084357
Switzerland,Europe,1985,110980314192
Thailand,Asia,1985,38900711333
Türkiye,Middle East,1985,67232758621
United Kingdom,Europe,1985,489285164271
United States,North America,1985,4338979000000
Argentina,South America,1986,105872372614
Australia,Oceania,1986,182707050923
Belgium,Europe,1986,120018787249
Brazil,South America,1986,256480852471
Canada,North America,1986,379006836992
China,Asia,1986,301310144928
Egypt,Africa,1986,41253507951
France,Europe,1986,764946585851
Germany,Europe,1986,1050092624516
India,Asia,1986,248985994041
Indonesia,Asia,1986,79954072545
Iran,Middle East,1986,209094561833
Italy,Europe,1986,641862313287
Japan,Asia,1986,2120083812110
Mexico,North America,1986,134556034673
Netherlands,Europe,1986,201157708221
Nigeria,Africa,1986,54805852581
Pakistan,Asia,1986,31899070056
Saudi Arabia,Middle East,1986,86961922765
South Africa,Africa,1986,73354771399
South Korea,Asia,1986,119965960795
Spain,Europe,1986,251141555186
Sweden,Europe,1986,150279869729
Switzerland,Europe,1986,159089921063
Thailand,Asia,1986,43096773981
Türkiye,Middle East,1986,75673037037
United Kingdom,Europe,1986,601452653181
United States,North America,1986,4579631000000
Argentina,South America,1987,108810885301
Australia,Oceania,1987,189726707253
Belgium,Europe,1987,149394404106
Brazil,South America,1987,283056836894
Canada,North America,1987,433134238311
China,Asia,1987,273455156951
Egypt,Africa,1987,40455616654
France,Europe,1987,926320855615
Germany,Europe,1987,1302932318825
India,Asia,1987,279033584092
Indonesia,Asia,1987,75929617558
Iran,Middle East,1987,134009995923
Italy,Europe,1987,807570134449
Japan,Asia,1987,2580748422781
Mexico,North America,1987,147542558209
Netherlands,Europe,1987,245406949521
Nigeria,Africa,1987,52676041931
Pakistan,Asia,1987,33351529275
Saudi Arabia,Middle East,1987,85695861148
South Africa,Africa,1987,96535763418
South Korea,Asia,1987,152240393646
Spain,Europe,1987,318520253335
Sweden,Europe,1987,182744315974
Switzerland,Europe,1987,199236370038
Thailand,Asia,1987,50535446555
Türkiye,Middle East,1987,87190081680
United Kingdom,Europe,1987,745162608269
United States,North America,1987,4855215000000
Argentina,South America,1988,126890235049
Australia,Oceania,1988,236461079970
Belgium,Europe,1988,162299103675
Brazil,South America,1988,307881930752
Canada,North America,1988,509380027627
China,Asia,1988,312888888889
Egypt,Africa,1988,34980124929
France,Europe,1988,1010827662152
Germany,Europe,1988,1406367016372
India,Asia,1988,296589670896
Indonesia,Asia,1988,84300174486
Iran,Middle East,1988,123057861334
Italy,Europe,1988,893663934841
Japan,Asia,1988,3125724434401
Mexico,North America,1988,181611150497
Netherlands,Europe,1988,262295966105
Nigeria,Africa,1988,49648470440
Pakistan,Asia,1988,38472742808
Russia,Europe,1988,554828660436
Saudi Arabia,Middle East,1988,88256074766
South Africa,Africa,1988,103976831871
South Korea,Asia,1988,205477530605
Spain,Europe,1988,375891716898
Sweden,Europe,1988,206686590776
Switzerland,Europe,1988,215540625299
Thailand,Asia,1988,61667253471
Türkiye,Middle East,1988,90875175809
United Kingdom,Europe,1988,910122732124
United States,North America,1988,5236438000000
Argentina,South America,1989,76629728760
Australia,Oceania,1989,300264309002
Belgium,Europe,1989,164221056511
Brazil,South America,1989,412990820287
Canada,North America,1989,567211993243
China,Asia,1989,348380566802
Egypt,Africa,1989,39756299050
France,Europe,1989,1016742237302
Germany,Europe,1989,1404092925205
India,Asia,1989,296042052945
Indonesia,Asia,1989,94451427877
Iran,Middle East,1989,120496362916
Italy,Europe,1989,930801709004
Japan,Asia,1989,3109455047824
Mexico,North America,1989,221403098267
Netherlands,Europe,1989,258716904292
Nigeria,Africa,1989,44003061108
Pakistan,Asia,1989,40171106279
Russia,Europe,1989,506631299735
Saudi Arabia,Middle East,1989,95344459279
South Africa,Africa,1989,108055624082
South Korea,Asia,1989,254236243100
Spain,Europe,1989,414460794097
Sweden,Europe,1989,217632340195
Switzerland,Europe,1989,208105846934
